[20:31:30] [info] VELOCITY: Creating window Velocity Editor Size:(1280,720)
[20:31:30] [trace] VELOCITY: Validation Layer: loaderGetDeviceRegistryFiles: GUID for 23 is not SoftwareComponent skipping
[20:31:30] [trace] VELOCITY: Validation Layer: Searching for ICD drivers named .\nvoglv64.dll
[20:31:30] [trace] VELOCITY: Validation Layer: Device Extension: VK_NV_dedicated_allocation (C:\Windows\System32\DriverStore\FileRepository\nvmd.inf_amd64_1408eaf9a25ed64f\.\nvoglv64.dll) version 0.0.1
[20:31:30] [trace] VELOCITY: Validation Layer: Device Extension: VK_NV_dedicated_allocation_image_aliasing (C:\Windows\System32\DriverStore\FileRepository\nvmd.inf_amd64_1408eaf9a25ed64f\.\nvoglv64.dll) version 0.0.1
[20:31:30] [trace] VELOCITY: Validation Layer: Device Extension: VK_NV_device_diagnostic_checkpoints (C:\Windows\System32\DriverStore\FileRepository\nvmd.inf_amd64_1408eaf9a25ed64f\.\nvoglv64.dll) version 0.0.2
[20:31:30] [trace] VELOCITY: Validation Layer: Device Extension: VK_NV_device_diagnostics_config (C:\Windows\System32\DriverStore\FileRepository\nvmd.inf_amd64_1408eaf9a25ed64f\.\nvoglv64.dll) version 0.0.1
[20:31:30] [trace] VELOCITY: Validation Layer: Device Extension: VK_NV_device_generated_commands (C:\Windows\System32\DriverStore\FileRepository\nvmd.inf_amd64_1408eaf9a25ed64f\.\nvoglv64.dll) version 0.0.3
[20:31:30] [trace] VELOCITY: Validation Layer: Device Extension: VK_NV_external_memory (C:\Windows\System32\DriverStore\FileRepository\nvmd.inf_amd64_1408eaf9a25ed64f\.\nvoglv64.dll) version 0.0.1
[20:31:30] [trace] VELOCITY: Validation Layer: Device Extension: VK_NV_external_memory_win32 (C:\Windows\System32\DriverStore\FileRepository\nvmd.inf_amd64_1408eaf9a25ed64f\.\nvoglv64.dll) version 0.0.1
[20:31:30] [trace] VELOCITY: Validation Layer: Device Extension: VK_NV_fill_rectangle (C:\Windows\System32\DriverStore\FileRepository\nvmd.inf_amd64_1408eaf9a25ed64f\.\nvoglv64.dll) version 0.0.1
[20:31:30] [trace] VELOCITY: Validation Layer: Device Extension: VK_NV_fragment_coverage_to_color (C:\Windows\System32\DriverStore\FileRepository\nvmd.inf_amd64_1408eaf9a25ed64f\.\nvoglv64.dll) version 0.0.1
[20:31:30] [trace] VELOCITY: Validation Layer: Device Extension: VK_NV_fragment_shader_barycentric (C:\Windows\System32\DriverStore\FileRepository\nvmd.inf_amd64_1408eaf9a25ed64f\.\nvoglv64.dll) version 0.0.1
[20:31:30] [trace] VELOCITY: Validation Layer: Device Extension: VK_NV_framebuffer_mixed_samples (C:\Windows\System32\DriverStore\FileRepository\nvmd.inf_amd64_1408eaf9a25ed64f\.\nvoglv64.dll) version 0.0.1
[20:31:30] [trace] VELOCITY: Validation Layer: Device Extension: VK_NV_geometry_shader_passthrough (C:\Windows\System32\DriverStore\FileRepository\nvmd.inf_amd64_1408eaf9a25ed64f\.\nvoglv64.dll) version 0.0.1
[20:31:30] [trace] VELOCITY: Validation Layer: Device Extension: VK_NV_mesh_shader (C:\Windows\System32\DriverStore\FileRepository\nvmd.inf_amd64_1408eaf9a25ed64f\.\nvoglv64.dll) version 0.0.1
[20:31:30] [trace] VELOCITY: Validation Layer: Device Extension: VK_NV_ray_tracing (C:\Windows\System32\DriverStore\FileRepository\nvmd.inf_amd64_1408eaf9a25ed64f\.\nvoglv64.dll) version 0.0.3
[20:31:30] [trace] VELOCITY: Validation Layer: Device Extension: VK_NV_representative_fragment_test (C:\Windows\System32\DriverStore\FileRepository\nvmd.inf_amd64_1408eaf9a25ed64f\.\nvoglv64.dll) version 0.0.2
[20:31:30] [trace] VELOCITY: Validation Layer: Device Extension: VK_NV_sample_mask_override_coverage (C:\Windows\System32\DriverStore\FileRepository\nvmd.inf_amd64_1408eaf9a25ed64f\.\nvoglv64.dll) version 0.0.1
[20:31:30] [trace] VELOCITY: Validation Layer: Device Extension: VK_NV_scissor_exclusive (C:\Windows\System32\DriverStore\FileRepository\nvmd.inf_amd64_1408eaf9a25ed64f\.\nvoglv64.dll) version 0.0.1
[20:31:30] [trace] VELOCITY: Validation Layer: Device Extension: VK_NV_shader_image_footprint (C:\Windows\System32\DriverStore\FileRepository\nvmd.inf_amd64_1408eaf9a25ed64f\.\nvoglv64.dll) version 0.0.2
[20:31:30] [trace] VELOCITY: Validation Layer: Device Extension: VK_NV_shader_sm_builtins (C:\Windows\System32\DriverStore\FileRepository\nvmd.inf_amd64_1408eaf9a25ed64f\.\nvoglv64.dll) version 0.0.1
[20:31:30] [trace] VELOCITY: Validation Layer: Device Extension: VK_NV_shader_subgroup_partitioned (C:\Windows\System32\DriverStore\FileRepository\nvmd.inf_amd64_1408eaf9a25ed64f\.\nvoglv64.dll) version 0.0.1
[20:31:30] [trace] VELOCITY: Validation Layer: Device Extension: VK_NV_shading_rate_image (C:\Windows\System32\DriverStore\FileRepository\nvmd.inf_amd64_1408eaf9a25ed64f\.\nvoglv64.dll) version 0.0.3
[20:31:30] [trace] VELOCITY: Validation Layer: Device Extension: VK_NV_viewport_array2 (C:\Windows\System32\DriverStore\FileRepository\nvmd.inf_amd64_1408eaf9a25ed64f\.\nvoglv64.dll) version 0.0.1
[20:31:30] [trace] VELOCITY: Validation Layer: Device Extension: VK_NV_viewport_swizzle (C:\Windows\System32\DriverStore\FileRepository\nvmd.inf_amd64_1408eaf9a25ed64f\.\nvoglv64.dll) version 0.0.1
[20:31:30] [trace] VELOCITY: Validation Layer: Device Extension: VK_NV_win32_keyed_mutex (C:\Windows\System32\DriverStore\FileRepository\nvmd.inf_amd64_1408eaf9a25ed64f\.\nvoglv64.dll) version 0.0.2
[20:31:30] [trace] VELOCITY: Validation Layer: Device Extension: VK_NVX_binary_import (C:\Windows\System32\DriverStore\FileRepository\nvmd.inf_amd64_1408eaf9a25ed64f\.\nvoglv64.dll) version 0.0.1
[20:31:30] [trace] VELOCITY: Validation Layer: Device Extension: VK_NVX_image_view_handle (C:\Windows\System32\DriverStore\FileRepository\nvmd.inf_amd64_1408eaf9a25ed64f\.\nvoglv64.dll) version 0.0.2
[20:31:30] [trace] VELOCITY: Validation Layer: Device Extension: VK_NVX_multiview_per_view_attributes (C:\Windows\System32\DriverStore\FileRepository\nvmd.inf_amd64_1408eaf9a25ed64f\.\nvoglv64.dll) version 0.0.1
[20:31:30] [info] VELOCITY: Available extensions:
[20:31:30] [trace] VELOCITY: 	 VK_KHR_device_group_creation
[20:31:30] [trace] VELOCITY: 	 VK_KHR_external_fence_capabilities
[20:31:30] [trace] VELOCITY: 	 VK_KHR_external_memory_capabilities
[20:31:30] [trace] VELOCITY: 	 VK_KHR_external_semaphore_capabilities
[20:31:30] [trace] VELOCITY: 	 VK_KHR_get_physical_device_properties2
[20:31:30] [trace] VELOCITY: 	 VK_KHR_get_surface_capabilities2
[20:31:30] [trace] VELOCITY: 	 VK_KHR_surface
[20:31:30] [trace] VELOCITY: 	 VK_KHR_surface_protected_capabilities
[20:31:30] [trace] VELOCITY: 	 VK_KHR_win32_surface
[20:31:30] [trace] VELOCITY: 	 VK_EXT_debug_report
[20:31:30] [trace] VELOCITY: 	 VK_EXT_debug_utils
[20:31:30] [trace] VELOCITY: 	 VK_EXT_swapchain_colorspace
[20:31:30] [trace] VELOCITY: 	 VK_NV_external_memory_capabilities
[20:31:30] [info] VELOCITY: Selected GPU 0x15d0f5fe8b0
